,dt,h0d0h0_dur_r,h0d0h1_dur_r,h0d1h0_dur_r,h0d1h1_dur_r,h1d0h0_dur_r,h1d0h1_dur_r,h1d1h0_dur_r
696,20190415,0.84123603,0.477738513,0.522155521,0.174241759,0.825499212,0.375179767,0.624561204
697,20190415,0.165347139,0.834415716,0.456962164,0.542800691,0.203187988,0.796310107,0.386573025
698,20190415,0.190881404,0.809084017,0.546300103,0.453665317,0.221230976,0.778737302,0.393973941
699,20190415,0.199467791,0.80037736,0.54106715,0.458778001,0.212220738,0.787507886,0.401051036
700,20190422,0.842191362,0.453481533,0.546267726,0.19855348,0.800338597,0.379440647,0.619451429
701,20190422,0.817069379,0.469951073,0.529653015,0.209877525,0.789382859,0.399034407,0.600225977
702,20190422,0.139133881,0.860777212,0.419743148,0.580167946,0.176162613,0.823594054,0.355670931
703,20190422,0.057432437,0.940212781,0.12169138,0.875953839,0.132152802,0.857773521,0.235538663
704,20190422,0.185691999,0.814280779,0.537674709,0.462298069,0.20206806,0.797902339,0.43846207
705,20190422,0.113711625,0.886080037,0.322427963,0.677363699,0.126766706,0.872965068,0.304381524
706,20190422,0.172097511,0.82781539,0.448894911,0.551017989,0.224686277,0.77506677,0.419358309
707,20190422,0.843129802,0.467889204,0.532039077,0.230891354,0.768868927,0.432173096,0.567587186
708,20190422,0.164500124,0.835378096,0.449743881,0.55013434,0.21469581,0.784794339,0.400688992
709,20190422,0.832835937,0.497453011,0.502546989,0.189162036,0.81083463,0.378475712,0.621520954
710,20190422,0.840394595,0.482035083,0.517955612,0.175691243,0.824267376,0.349206473,0.650752146
711,20190422,0.826394345,0.471517248,0.526324857,0.227420913,0.768104384,0.410007975,0.585517322
712,20190422,0.834263395,0.487958263,0.51198759,0.181846321,0.817961364,0.362219912,0.637587774
713,20190422,0.180006403,0.819822489,0.453708763,0.54612013,0.215041381,0.784583052,0.399643932
714,20190422,0.177635524,0.822228796,0.4697211,0.530143219,0.230077782,0.769485302,0.416203372
715,20190422,0.200290129,0.799620802,0.467966169,0.531944762,0.275453788,0.724475344,0.397564824
716,20190422,0.80488823,0.496355354,0.502023634,0.204590692,0.79344486,0.418709779,0.579325773
717,20190422,0.170453602,0.829446244,0.478144089,0.521755757,0.201041884,0.798701493,0.385429167
718,20190422,0.200106743,0.799782454,0.533437408,0.466451789,0.224597284,0.775133511,0.413603912
719,20190422,0.833472165,0.430299401,0.569508215,0.213808105,0.785669222,0.395670296,0.603807031
720,20190422,0.784049416,0.479941108,0.519851661,0.223579447,0.77599129,0.40244321,0.597127526
721,20190422,0.192021279,0.807941847,0.544246622,0.455716504,0.228806774,0.771155495,0.400534727
